,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
ai-video-search-with-snowflake-and-twelveLabs,AI Video Search with Snowflake and Twelve Labs,https://quickstarts.snowflake.com/guide/ai-video-search-with-snowflake-and-twelveLabs/index.html,Dash Desai,This guide outlines the process for creating a video search and summarization workflow in Snowflake Notebook on Container Runtime.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,Data Science,,,,Data Engineering,App Development,ML,,,,,,Published,"Jan 1, 2025","Jan 1, 2025",iamontheinet
getting_started_with_snowflake_notebooks,A Getting Started Guide With Snowflake Notebooks,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_notebooks/index.html,"Vino Duraisamy, Doris Lee",This guide provides the instructions on how to get started with your first Snowflake Notebook.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Getting Started,,,,,,,,,,,,,,,,Published,"May 30, 2024","Jan 9, 2025",vinodhini-sd
streamlit-dashboard,Building a YouTube Analytics Dashboard with Streamlit in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/streamlit-dashboard/index.html,Chanin Nantasenamat,"Learn how to create an interactive YouTube analytics dashboard using Streamlit within Snowflake Notebooks. This guide covers data generation, visualization, and user interaction to effectively communicate your data insights.",,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Analytics",snowflake-site:taxonomy/product/analytics,snowflake-site:taxonomy/product/applications-and-collaboration,Streamlit,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,Getting Started,,,,Data Science,,,,,,,,Published,"Jan 9, 2025","Jan 9, 2025",sfc-gh-cnantasenamat
building_a_custom_model_for_anomaly_detection,Build a Custom Model to Detect Anomalies on the Production Floor,https://quickstarts.snowflake.com/guide/building_a_custom_model_for_anomaly_detection/index.html,James Cha-Earley,Build a Custom Model to Detect Anomalies on the Production Floor,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/anomaly-detection/,Remove,snowflake-site:taxonomy/industry/manufacturing,en,AI,snowflake-site:taxonomy/product/ai,,,AI: Model Development,snowflake-site:taxonomy/snowflake-feature/model-development,,,,,,,,,,,,,,Published,"Dec 11, 2024","Jan 14, 2025",jamescha-earley
braze_cdi,Braze Cloud Data Ingestion,https://quickstarts.snowflake.com/guide/braze_cdi/index.html,Luke Ambrosetti,Braze Cloud Data Ingestion,Marketing,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,"DE: Ingestion, Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/ingestion,snowflake-site:taxonomy/snowflake-feature/external-collaboration,Partner Integrations,,,,,,,,,,,,Published,"Jan 14, 2025","Jan 14, 2025",sfc-gh-lambrosetti
setting_up_snowflake_environments_in_vertex_ai,Setting up Snowflake Environments in Vertex AI,https://quickstarts.snowflake.com/guide/setting_up_snowflake_environments_in_vertex_ai/index.html,marzillo-snow,This is a quickstart for Setting up Snowflake Environments in Vertex AI,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Data Science,,,,Data Engineering,,,,Google,AI,Vertex-AI,GCP,,,,,Published,"Jan 14, 2025","Jan 14, 2025",sfc-gh-mmarzillo
getting_started_with_synthetic_data_and_distillation_for_llms,Getting Started with Llama 3 1 405B Build Custom LLMs with Synthetic Data Generation and Distillation,https://quickstarts.snowflake.com/guide/getting_started_with_synthetic_data_and_distillation_for_llms/index.html,"Arne Mauser, Kelvin So, Dash Desai",This guide provides the instructions for creating custom LLMs with synthetic data and distillation using Snowflake Cortex AI.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,,,,,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,,,,,,,,,Published,"Jul 23, 2024","Jan 16, 2025",iamontheinet
connectors_google_analytics_raw_data,Getting Started with the Snowflake Connector for Google Analytics,https://quickstarts.snowflake.com/guide/connectors_google_analytics_raw_data/index.html,Joviane Bellegarde,Getting Started with the Snowflake Connector for Google Analytics,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,Connectors,DE: Ingestion,snowflake-site:taxonomy/snowflake-feature/ingestion,,Dynamic Tables,DE - Connectors,snowflake-site:taxonomy/snowflake-feature/connectors,,BigQuery,,,,,,,,Published,"Dec 18, 2024","Jan 17, 2025",sfc-gh-jbellegarde
mfa-audit,Building an MFA Audit System with Streamlit in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/mfa-audit/index.html,Chanin Nantasenamat,"Learn how to build a Streamlit app in Snowflake Notebooks to audit and monitor Multi-Factor Authentication (MFA) status of users, with automated email notifications for non-compliant users.",,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Platform, Applications & Collaboration",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,Cybersecurity,"""Platform: Compliance, Security, Discovery & Governance""",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,Data Engineering,,,,Streamlit,,,,,,,,Published,"Jan 17, 2025","Jan 17, 2025",sfc-gh-cnantasenamat
fivetran_vineyard_assistant_chatbot,Build a RAG based GenAI chatbot using Structured Data with Snowflake and Fivetran,https://quickstarts.snowflake.com/guide/fivetran_vineyard_assistant_chatbot/index.html,David Hrncir,Build a RAG-based GenAI Streamlit application with Fivetran and Snowflake using structured data.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/rag-chatbot-on-structured-data-with-fivetran/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,Cortex,,,,,,,,,,,,,,,,Published,"Sep 11, 2024","Jan 21, 2025",DavidHrncir
getting-started-with-task-graphs,Getting Started with Snowflake Task Graphs,https://quickstarts.snowflake.com/guide/getting-started-with-task-graphs/index.html,Charlie Hammond,This quickstart sets up an example Snowflake task graph to showcase its features.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Data Engineering,,,,,,,,,,,,,,,,Published,"Nov 18, 2024","Jan 21, 2025",sfc-gh-chammond
ai_assistant_for_sales_calls,Building AI Assistant using Snowflake Cortex in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/ai_assistant_for_sales_calls/index.html,Sikha Das,"This application provides a centralized, AI-driven approach to analyze sales calls to gain actionable insights, enhance decision-making, and drive better alignment between product and GTM strategies.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/building-an-ai-sales-assistant-with-snowflake-cortex---notebooks/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,,,,,,,,,Published,"Dec 11, 2024","Jan 21, 2025",sfc-gh-sidas
getting_started_with_amazon_q_business and_cortex,Getting Started with Amazon Q Business and Cortex,https://quickstarts.snowflake.com/guide/getting_started_with_amazon_q_business and_cortex/index.html,marzillo-snow,This is a quickstart for using Amazon Q Business with Cortex,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Data Science,,,,Data Engineering,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,AWS,cortex,genAI,Amazon,Copilot,search,LLM,,Published,"Jan 21, 2025","Jan 21, 2025",sfc-gh-mmarzillo
getting_started_with_snowflake_devops,Getting Started with Snowflake DevOps,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_devops/index.html,Vincent Raudszus,Getting Started with Snowflake DevOps,devops,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,Data Engineering,,,,,,,,,,,,Published,"May 22, 2024","Jan 22, 2025",sfc-gh-vraudszus
intro_to_snowpark_container_services_with_python_api,Intro to Snowpark Container Services with Snowflake Python APIs,https://quickstarts.snowflake.com/guide/intro_to_snowpark_container_services_with_python_api/index.html,ilesh Garish,"Through this quickstart guide, you will explore Snowpark Container Services using Python API",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,AI - SPCS CPU,snowflake-site:taxonomy/snowflake-feature/snowpark-container-services,,,,,,,,,,Published,"May 4, 2024","Jan 24, 2025",iamontheinet
getting_started_with_cortex_analyst_in_snowflake,Getting Started with Cortex Analyst in Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_cortex_analyst_in_snowflake/index.html,Dash Desai,"Through this quickstart guide, you will learn how to use Cortex Analyst to provide natural-language query interfaces to structured data in Snowflake.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,,,,,AI - Cortex Analyst,snowflake-site:taxonomy/snowflake-feature/cortex-analyst,,,,,,,,,,Hidden,"Nov 18, 2024","Jan 24, 2025",iamontheinet
automated-query-performance-insights-with-streamlit,Build Interactive Query Performance App in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/automated-query-performance-insights-with-streamlit/index.html,Chanin Nantasenamat,Build an interactive Streamlit app within Snowflake Notebooks to analyze query performance and identify optimization opportunities. This guide demonstrates how to create visualizations and insights for query execution times.,Streamlit,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Notebooks,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,,,,,,,,,,,,Published,"Jan 24, 2025","Jan 24, 2025",sfc-gh-cnantasenamat
table-size-growth,Monitor Table Size Growth in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/table-size-growth/index.html,Chanin Nantasenamat,Learn how to monitor and analyze table storage growth trends in Snowflake Notebooks.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Audit,Platform: Storage,snowflake-site:taxonomy/snowflake-feature/storage,,Streamlit,,,,Notebooks,,,,,,,,Published,"Jan 24, 2025","Jan 24, 2025",sfc-gh-cnantasenamat
apache-iceberg-snowflake-open-catalog-snowpipe-streaming,Apache Iceberg and Snowflake Open Catalog Unlock Data Lake Interoperability with Apache Polaris,https://quickstarts.snowflake.com/guide/apache-iceberg-snowflake-open-catalog-snowpipe-streaming/index.html,Dash Desai,"Learn how Apache Iceberg integrates with Snowflake Open Catalog, a managed service for Apache Polaris, to enhance data lake interoperability and analytics performance. Discover key benefits and use cases for modern data architectures.",,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,Analytics: Lakehouse Analytics,snowflake-site:taxonomy/snowflake-feature/lakehouse-analytics,,Data Engineering,DE - Iceberg,snowflake-site:taxonomy/snowflake-feature/apache-iceberg,,App Development,,,,,,,,Published,"Jan 6, 2025","Jan 27, 2025",iamontheinet
automated-query-performance-insights,Analyze Query Performance in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/automated-query-performance-insights/index.html,Chanin Nantasenamat,Learn how to analyze query performance in Snowflake using SQL queries to identify bottlenecks and optimize execution times.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,Notebooks,,,,,,,,,,,,Published,"Jan 24, 2025","Jan 27, 2025",sfc-gh-cnantasenamat
role-based-access-auditing,Build Role Based Access Audit Dashboards in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/role-based-access-auditing/index.html,Chanin Nantasenamat,Build a utility notebook to audit and report on user roles and privileges in Snowflake Notebooks.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Cybersecurity,,,,Audit,,,,Streamlit,Notebooks,,,,,,,Published,"Jan 24, 2025","Jan 27, 2025",sfc-gh-cnantasenamat
warehouse-utilization,Build Warehouse Utilization App in Snowflake Notebooks,https://quickstarts.snowflake.com/guide/warehouse-utilization/index.html,Chanin Nantasenamat,Learn how to create an interactive heatmap visualization of Snowflake warehouse utilization patterns in Snowflake Notebooks and Streamlit.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Audit,,,,Streamlit,,,,Notebooks,,,,,,,,Published,"Jan 24, 2025","Jan 27, 2025",sfc-gh-cnantasenamat
query-cost-monitoring,Build a Query Cost Monitoring Tool with Snowflake and Streamlit,https://quickstarts.snowflake.com/guide/query-cost-monitoring/index.html,Chanin Nantasenamat,"Learn how to build a Query Cost Monitoring tool using Snowflake, Streamlit, Pandas and Altair to analyze and visualize compute costs by individual queries.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,,snowflake-site:taxonomy/product/platform,,Streamlit,,,,Notebooks,,,,,,,,,,,,Published,"Jan 27, 2025","Jan 27, 2025",sfc-gh-cnantasenamat
scheduled-query-report,Build an Interactive Scheduled Query Execution Report,https://quickstarts.snowflake.com/guide/scheduled-query-report/index.html,Chanin Nantasenamat,Build an interactive report to analyze failed or long-running scheduled queries using Snowflake Notebooks with Streamlit integration.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Analytics, Data Engineering",snowflake-site:taxonomy/product/analytics,snowflake-site:taxonomy/product/data-engineering,Audit,,,,Streamlit,,,,Notebooks,,,,,,,,Published,"Jan 27, 2025","Jan 27, 2025",sfc-gh-cnantasenamat
mendix_data_loader,An Introduction to the Mendix Data Loader,https://quickstarts.snowflake.com/guide/mendix_data_loader/index.html,Trong Tran,Guide on how to use the Mendix Data Loader to ingest data from Mendix applications via a published OData service.,Connectors,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/build-ai-enabled-enterprise-applications-that-drive-action-from-your-snowflake-data-with-mendix/,Remove,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,"DE: Ingestion, Partner",snowflake-site:taxonomy/snowflake-feature/ingestion,,,DE - Connectors,snowflake-site:taxonomy/snowflake-feature/connectors,,,,,,,,,,Published,"Nov 12, 2024","Jan 28, 2025",strategicalliances
tasty_bytes_working_with_iceberg_tables,Tasty Bytes Working with Iceberg Tables,https://quickstarts.snowflake.com/guide/tasty_bytes_working_with_iceberg_tables/index.html,nadithya-sf,"This tutorial is a guide built as an extention to the Tasty Bytes series, where we will go over how data from an external Data Lake is made available in Snowflake using External Tables & Iceberg Tables.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Tasty Bytes,Analytics: Lakehouse Analytics,snowflake-site:taxonomy/snowflake-feature/lakehouse-analytics,,Data Engineering,DE - Iceberg,snowflake-site:taxonomy/snowflake-feature/apache-iceberg,,,,,,,,,,Published,"Jun 27, 2024","Jan 29, 2025",sfc-gh-xhuang
getting_started_with_ocr_and_rag_with_snowflake_notebooks,Getting Started with OCR and RAG with Snowflake Notebooks,https://quickstarts.snowflake.com/guide/getting_started_with_ocr_and_rag_with_snowflake_notebooks/index.html,James Cha Earley,Getting Started with OCR and RAG with Snowflake Notebooks,ML,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/getting-started-ocr-rag-snowflake-notebooks/,Remove,,en,"AI, Platform",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/platform,Getting Started,,,,Data Science,,,,Data Engineering,App Development,,,,,,,Published,"Nov 22, 2024","Jan 31, 2025",jamescha-earley
getting_started_with_audio_sentiment_analysis_using_snowflake_notebooks,Getting Started with Audio Sentiment Analysis using Snowflake Notebooks,https://quickstarts.snowflake.com/guide/getting_started_with_audio_sentiment_analysis_using_snowflake_notebooks/index.html,James Cha-Earley,Getting Started with Audio Sentiment Analysis using Snowflake Notebooks,ML,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,Data Science,AI - ML Functions,snowflake-site:taxonomy/snowflake-feature/ml-functions,,App Development,,,,,,,,Published,"Jan 30, 2025","Feb 7, 2025",jamescha-earley
getting-started-with-ml-observability-in-snowflake,Getting Started with ML Observability in Snowflake,https://quickstarts.snowflake.com/guide/getting-started-with-ml-observability-in-snowflake/index.html,Kala Govindarajan,"ML Ops is defined as the core function of ML engineering focused on optimizing the process of deploying, maintaining, and monitoring models in production. Snowflake ML Observability allows to monitor models deployed in production via Snowflake Model Registry to track the quality of the model across multiple dimensions such as performance and drift along with volume. With this ML Ops-driven approach for customer churn monitoring, enterprises can ensure that ML models add real value, minimize the risk of performance decay, and make informed, data-driven decisions that drive customer retention.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/community-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/monitoring-customer-churn-with-ml-observability-in-snowflake/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Published,"Nov 14, 2024","Feb 10, 2025",sfc-gh-kgovindarajan
create_ai_agents_on_snowflake_with_lang_ai,Create AI Agents on Snowflake with Lang ai,https://quickstarts.snowflake.com/guide/create_ai_agents_on_snowflake_with_lang_ai/index.html,Lang.ai,"Through this quickstart guide, you will set up an AI Agent running on Snowflake to set up recurring data analysis for your business teams.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/driving-customer-growth-and-retention-with-lang-ai/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,Data Science,Analytics: Business Intelligence,snowflake-site:taxonomy/snowflake-feature/business-intelligence,,Data Science,,,,Partner Integrations,AI,ML,,,,,,Published,"Aug 27, 2024","Feb 13, 2025",fjaguero
doc-ai-pipeline-automation,Document AI Pipeline Automation,https://quickstarts.snowflake.com/guide/doc-ai-pipeline-automation/index.html,Sarathi Balakrishnan,Automate document processing using Snowflake Document AI,document-AI,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,AI - Document AI,snowflake-site:taxonomy/snowflake-feature/document-ai,,,,,,,,,,Published,"Feb 13, 2025","Feb 13, 2025",sfc-gh-sabalakrishnan-git
getting_started_with_snowpark_for_python_streamlit,Getting Started With Snowpark for Python and Streamlit,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_for_python_streamlit/index.html,Dash Desai,This guide provides the instructions for writing a Streamlit application using Snowpark for Python and data from the Snowflake Marketplace.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Platform, Applications & Collaboration",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,Getting Started,,,,Data Engineering,,,,App Development,,,,,,,,Published,"Jun 6, 2022","Feb 21, 2025",iamontheinet
intro_to_snowpark_container_services,Intro to Snowpark Container Services,https://quickstarts.snowflake.com/guide/intro_to_snowpark_container_services/index.html,Caleb Baechtold,"Through this quickstart guide, you will explore Snowpark Container Services",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,AI - SPCS CPU,snowflake-site:taxonomy/snowflake-feature/snowpark-container-services,,,,,,,,,,Published,"Dec 20, 2023","Feb 28, 2025",sfc-gh-adelauw
getting_started_with_azure_data_factory_and_snowflake,Getting Started with Azure Data Factory and Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_azure_data_factory_and_snowflake/index.html,sfc-gh-etolotti,This is a quickstart for using Snowflake with Azure Data Factory,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Platform",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,Data Engineering,,,,Microsoft,,,,,,,,,,,,Published,"Mar 7, 2024","Mar 3, 2025",stevebanik
getting_started_with_tempo_and_snowflake,Getting Started with TEMPO and Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_tempo_and_snowflake/index.html,mando222,This is a guide on getting started with Tempo on Snowflake,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"Oct 11, 2024","Mar 3, 2025",mando222
build-agentic-workflows-with-huggingface-smolagents-in-snowflake,Build Agentic Workflows with Hugging Face Smolagents in Snowflake,https://quickstarts.snowflake.com/guide/build-agentic-workflows-with-huggingface-smolagents-in-snowflake/index.html,Dash Desai,This guide outlines the process for creating agentic workflow in Snowflake Notebook on Container Runtime.,ML,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,Data Science,,,,App Development,,,,,,,,Published,"Jan 21, 2025","Mar 3, 2025",iamontheinet
getting_started_with_cortex_agents,Getting Started with Cortex Agents,https://quickstarts.snowflake.com/guide/getting_started_with_cortex_agents/index.html,James Cha-Earley,Get started with Cortex Agents,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Platform",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/platform,,AI: Conversational Assistants,snowflake-site:taxonomy/snowflake-feature/ingestion/conversational-assistants,,,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,,,,,,,,,Published,"Feb 11, 2025","Mar 3, 2025",jamescha-earley
attaining_consumer_insights_with_snowflake_and_microsoft_power_bi,Attaining Consumer Insights with Snowflake and Microsoft Power BI,https://quickstarts.snowflake.com/guide/attaining_consumer_insights_with_snowflake_and_microsoft_power_bi/index.html,N/A,"In this lab, you’ll learn how to access all relevant data from a single source and turn data into insights through the Microsoft PowerBI integration.",Partner Integrations,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,,"Analytics: Business Intelligence, Partner",snowflake-site:taxonomy/snowflake-feature/business-intelligence,,,,,,,,,,,,,,Published,"Aug 23, 2021","Mar 4, 2025",sfc-gh-kbregula
getting_started_with_snowflake_kr,Snowflake Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_kr/index.html,N/A,"This is a broad introduction of Snowflake and covers how to login, run queries, and load data.",undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Data Engineering, Platform",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,Hidden,"Dec 2, 2021","Mar 4, 2025",sfc-gh-kbregula
data_science_with_dataiku_kr,Snowflake Dataiku,https://quickstarts.snowflake.com/guide/data_science_with_dataiku_kr/index.html,N/A,Snowflake 및 Dataiku로 데이터 과학 가속화,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Mar 4, 2025",sfc-gh-kbregula
getting_started_with_snowflake_ja,Snowflake Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_ja/index.html,N/A,これはSnowflakeの大まかな紹介であり、ログイン、クエリの実行、データのロード方法について説明しています。,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,jp,,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,,,,,,,,,,,,,Published,"Jan 23, 2024","Mar 4, 2025",sfc-gh-kbregula
a_dataiku_and_snowflake_guide_to_data_science,A Dataiku and Snowflake Introduction to Data Science,https://quickstarts.snowflake.com/guide/a_dataiku_and_snowflake_guide_to_data_science/index.html,Stephen Franks,This is an introduction to Dataiku and Snowflake,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,"AI, Data Engineering",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,AI,Partner,,,Partner Integrations,,,,Data Science,ML,,,,,,,Published,"Apr 4, 2024","Mar 4, 2025",sfc-gh-kbregula
snowplow-web-analytics,Snowplow Digital Analytics with Snowflake,https://quickstarts.snowflake.com/guide/snowplow-web-analytics/index.html,Snowplow,Set up real-time event tracking and analytics using Snowplow and Snowflake,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/use-snowplow-digital-analytics-to-collect-real-time-insights-into-customer-behavior/,Remove,,en,Analytics,snowflake-site:taxonomy/product/analytics,,Data Engineering,,,,,,,,,,,,,,,,Published,"Oct 17, 2024","Mar 4, 2025",sfc-gh-ghernandez
getting_started_with_snowflake_it,Guida introduttiva a Snowflake Da zero a Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_it/index.html,N/A,"Questa è un’introduzione generale a Snowflake che spiega come effettuare il login, eseguire query e caricare dati.",in-evidenza,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,it,,snowflake-site:taxonomy/product/data-engineering,,guida-introduttiva,,,,,,,,,,,,,,,,Pubblicato,"Dec 2, 2024","Mar 4, 2025",sfc-gh-kbregula
